"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Socceroos: Argentina awaits in the Round of 16. 🔥👊

🇦🇺 v 🇦🇷 - 4.12.22 - 6am AEDT
📺💻📱: SBS, SBS On Demand

#GiveIt100 #Socceroos #FIFAWo…",FALSE,0,NA,2022-12-01 05:41:28,FALSE,NA,"1598190522333818880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cindyn",196,TRUE,FALSE,NA,NA
"RT @FIFAWorldCup: 😍 Imagine scoring your first ever international goal at the #FIFAWorldCup 

Alexis Mac Allister seals top spot for Argent…",FALSE,0,NA,2022-12-01 05:41:28,FALSE,NA,"1598190521968885760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lob_mukherjee",202,TRUE,FALSE,NA,NA
"RT @RoyNemer: Lionel Messi has never been eliminated in a group stage, ever. Not for Argentina or at his clubs. 🇦🇷",FALSE,0,NA,2022-12-01 05:41:26,FALSE,NA,"1598190516843458561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MessiHarsha",513,TRUE,FALSE,NA,NA
"RT @RoyNemer: Lionel Messi: ""Diego would be happy. He was always happy about the nice things that happen to the Argentina national team and…",FALSE,0,NA,2022-12-01 05:41:26,FALSE,NA,"1598190515752964096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EUPHORIA1122000",348,TRUE,FALSE,NA,NA
"Argentina started their best midfield and walked away with their best performance at a World Cup in over a decade? colour me shocked",FALSE,3,NA,2022-12-01 05:41:25,FALSE,NA,"1598190513383174144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","todocampista8",0,FALSE,FALSE,NA,NA
"@ayefrend @pessitrolling30 @deejayfaremi I keep telling people. Do not be surprised if you see argentina in the fin… https://t.co/QTXQC1WjX3",FALSE,0,"ayefrend",2022-12-01 05:41:20,TRUE,"1598183872000249857","1598190491358879744","1203928777337622529","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NolanKnowsNBA",0,FALSE,FALSE,NA,NA
"RT @Fcb_s_a_m: Messi making sure Argentina don't score three so as to take Lewy and Poland through to RO16 on goal difference. Barca blood",FALSE,0,NA,2022-12-01 05:41:17,FALSE,NA,"1598190479191191552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maryamm93521752",120,TRUE,FALSE,NA,NA
"RT @FIFAWorldCup: PENALTY FOR ARGENTINA!",FALSE,0,NA,2022-12-01 05:41:15,FALSE,NA,"1598190468864495616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tollypiyash1",659,TRUE,FALSE,NA,NA
"RT @FabrizioRomano: #Qatar2022 🚨📑⤵️

▫️ Netherlands-USA

▫️ Argentina-Australia 

▫️ France-Poland

▫️ England-Senegal",FALSE,0,NA,2022-12-01 05:41:13,FALSE,NA,"1598190462594338817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarliitosCP95",5849,TRUE,FALSE,NA,NA
"RT @RMadridEngineer: Remember, Argentina lost Copa once because Messi missed a penalty. Also remember, PSG got kicked by Real Madrid not on…",FALSE,0,NA,2022-12-01 05:41:13,FALSE,NA,"1598190461247983618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","de_First1",119,TRUE,FALSE,NA,NA
"RT @GhanamanTips: Argentina lost their first game and won the next 2 🇦🇷 

Senegal lost their first game and won the next 2 🇸🇳 

Ghana, No P…",FALSE,0,NA,2022-12-01 05:41:13,FALSE,NA,"1598190459830292481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Agueroledesma",190,TRUE,FALSE,NA,NA
"RT @1boreen_ye: In 1978, Kempes missed a penalty for Argentina in the third game, Argentina won #FIFAWorldCup  

In 1986, Maradona missed a…",FALSE,0,NA,2022-12-01 05:41:12,FALSE,NA,"1598190457494077441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrinceOswarid",14,TRUE,FALSE,NA,NA
"RT @gffn__: 🚨 During the half time talk, Argentina Manager played video of Cristiano Ronaldo scoring penalties to motivate Messi but he lef…",FALSE,0,NA,2022-12-01 05:41:12,FALSE,NA,"1598190457112367104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anirudh22069861",151,TRUE,FALSE,NA,NA
"@Bzh_Cop @reelpapy @TrollFootball Messi can't even play in the Euro's or in the Nations League cause he's from Argentina🤦🏻‍♂️",FALSE,0,"Bzh_Cop",2022-12-01 05:41:10,FALSE,"1598051881640546305","1598190450292461569","1241144749945389056","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JonathanSalin31",0,FALSE,FALSE,NA,NA
"RT @al_varo_777: Di Maria always carries Argentina and these pessi fans will give him all the credit smh",FALSE,0,NA,2022-12-01 05:41:07,FALSE,NA,"1598190436618997760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lumid7",36,TRUE,FALSE,NA,NA
